날짜,증권사,종목,수량,현재가,매입금액,평가금액,수익률
2024-05-16,한국투자,삼성전자,135,77300,10302333,10435500,1.2925907170735016
2024-05-18,신한금융,sol배당,748,10440,7781385,7809120,0.3564275511364622
